status,ticker,company_name,source_path,target_path,mapping_source_level,chain_code,chain_name,position,subcategory,choice_count,note
moved,1474,弘裕,Pilot_Reports/1474_弘裕.md,Pilot_Reports/1474_弘裕.md,raw_member,O000,紡織,中游,織布,1,
moved,1475,業旺,Pilot_Reports/1475_業旺.md,Pilot_Reports/1475_業旺.md,raw_member,O000,紡織,下游,染整,1,
moved,4401,東隆興,Pilot_Reports/4401_東隆興.md,Pilot_Reports/4401_東隆興.md,raw_member,5800,運動科技,中游,運動用品,4,
moved,4402,郡都開發,Pilot_Reports/4402_郡都開發.md,Pilot_Reports/4402_郡都開發.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,4406,新昕纖,Pilot_Reports/4406_新昕纖.md,Pilot_Reports/4406_新昕纖.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,4417,金洲,Pilot_Reports/4417_金洲.md,Pilot_Reports/4417_金洲.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,4420,光明,Pilot_Reports/4420_光明.md,Pilot_Reports/4420_光明.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,4426,利勤,Pilot_Reports/4426_利勤.md,Pilot_Reports/4426_利勤.md,raw_member,O000,紡織,中游,織布,1,
moved,4430,耀億,Pilot_Reports/4430_耀億.md,Pilot_Reports/4430_耀億.md,raw_member,X000,其他,上游,其他,1,
moved,4433,興采,Pilot_Reports/4433_興采.md,Pilot_Reports/4433_興采.md,raw_member,O000,紡織,下游,染整,2,
moved,4440,宜新實業,Pilot_Reports/4440_宜新實業.md,Pilot_Reports/4440_宜新實業.md,raw_member,O000,紡織,中游,人造纖維產品(例如尼龍纖維、聚酯纖維、嫘縈纖維等,1,
moved,4441,振大環球,Pilot_Reports/4441_振大環球.md,Pilot_Reports/4441_振大環球.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,4442,竣邦-KY,Pilot_Reports/4442_竣邦-KY.md,Pilot_Reports/4442_竣邦-KY.md,raw_member,O000,紡織,下游,成衣及其它家居紡織類品,1,
moved,5340,建榮,Pilot_Reports/5340_建榮.md,Pilot_Reports/5340_建榮.md,raw_member,L000,印刷電路板,上游,玻璃纖維/玻纖布,1,
