ticker,company_name,source_md,rendered_md,source_wikilinks,rendered_wikilinks,missing_wikilinks,missing_source_sections,financial_preserved,competitor_count
4943,康控-KY,Pilot_Reports/Electronic Components/4943_康控-KY.md,output/enrichment_all_rendered/4943_康控-KY.md,5,10,,,true,1
4949,有成精密,Pilot_Reports/Solar/4949_有成精密.md,output/enrichment_all_rendered/4949_有成精密.md,6,12,,,true,1
4950,金耘國際,"Pilot_Reports/Furnishings, Fixtures & Appliances/4950_金耘國際.md",output/enrichment_all_rendered/4950_金耘國際.md,4,9,,,true,1
4951,精拓科,Pilot_Reports/Semiconductors/4951_精拓科.md,output/enrichment_all_rendered/4951_精拓科.md,7,7,,,true,1
4952,凌通,Pilot_Reports/Semiconductors/4952_凌通.md,output/enrichment_all_rendered/4952_凌通.md,11,11,,,true,1
4953,緯軟,Pilot_Reports/Information Technology Services/4953_緯軟.md,output/enrichment_all_rendered/4953_緯軟.md,7,12,,,true,1
4956,光鋐,Pilot_Reports/Electronic Components/4956_光鋐.md,output/enrichment_all_rendered/4956_光鋐.md,7,12,,,true,1
4958,臻鼎-KY,Pilot_Reports/Electronic Components/4958_臻鼎-KY.md,output/enrichment_all_rendered/4958_臻鼎-KY.md,19,24,,,true,1
4960,誠美材,Pilot_Reports/Electronic Components/4960_誠美材.md,output/enrichment_all_rendered/4960_誠美材.md,11,16,,,true,1
4961,天鈺,Pilot_Reports/Semiconductors/4961_天鈺.md,output/enrichment_all_rendered/4961_天鈺.md,8,8,,,true,1
